Numer,Uwagi/stan,type
KK-2,"naderwany prawy boczek, spawany przy mocowaniu siodełka",warning
KK-3,"brak podnóżka, wyrwane inserty od uchwytów na kolana/uda, był na zamykani doubrawy",broken
KK-4,"brak boczków, strzelony",broken
KK-5,"brak boczków, spawany przy mocowaniu siodełka. Nie nadaje się na mocniejsze pływanie",broken
KK-7,"Lekko wgniecony dziób, neopren na siodełku ",neutral
KK-8,"ok, był spawany na dupie, uwaga bo szybki (a nie czerwony)",neutral
KK-9,"brak motylków na kolana , odkleja sie pianka od oparcia, sparciała gumka od oparcia",warning
KK-11,"uszkodzony pasek od napinarki, mocno spawany przy mocowaniu siodełka i na dupie",warning
KK-12,"oryginalny podnóżek na szynie, obecnie wypchany styrodurem",warning
KK-13,"brak podnóżka, oparcie do udoskonalenia, ale ogólnie elegancki ",warning
KK-14,"dziura w kokpicie (niski priorytet)",warning
KK-15,"brak grodzi, oparcie siodełka naderwane, pianki na dupie do przyklejenia",broken
KK-16,"brak boczków (obecnie zrobione z gąbki i taśmy), czerwony strzelony nosek, strzelony także pod siodełkiem - Malina wkleił taśme i podobno narazie jest git i nie ruszać, do przyklejenia siatka na siodełku",broken
KK-17,"ok, wgnieciony z tyłu za kokpitem",neutral
KK-18,"brak boczków",warning
KK-19,"połamany nosek na dziobie, sparciałe gumki od oparcia, urwany korek",broken
KK-20,"brak grodzi z przodu, wgnieciony dziub",broken
KK-21,"po grubszych naprawach (w tym spawanie), nie nadaje się na mocniejsze pływanie",broken
KK-22,"brak grodzi z przodu, cieknie, trzy razy zdał salze. Świetny kajak, zwiedził pół świata",broken
KK-24,"brak podnóżka, siodelko nieprzymocowane z tyłu, cieknie",broken
KK-26,"brak podnóżka",warning
KK-27,"dziura w kokpicie i dziora na dupie (spawana), oparcie handmade, ten dziobek jest naruszony",broken
KK-28,"urwany uchwyt z tylu",warning
KK-30,"brak grodzi z przodu i z tyłu (obecnie podmieniony outfit z żółtego hossa) siedzonko z Pyranha, mocno spawany",broken
