Numer,Producent,Model,friendlyName,Rozmiar,Typ
AK-03,RTM,euroclub,,xl,nizinna
AK-04,RTM,euroclub,,xl,nizinna
AK-05,CSR,,,sOrM,nizinna
AK-06,RTM,euroclub,,xxl,nizinna
AK-07,RTM,euroclub,,xxl,nizinna
AK-08,RTM,euroclub,,m,nizinna
AK-09,RTM,euroclub,,m,nizinna
AK-10,RTM,euroclub,,m,nizinna
AK-11,RTM,euroclub,,l,nizinna
AK-12,RTM,euroclub,,m,nizinna
AK-13,RTM,euroclub,,m,nizinna
AK-14,Sportis,sailor,,xl,nizinna
AK-15,Aquarius,,,xs,nizinna
AK-16,Ratex,,,m,nizinna
AK-17,Ratex,,,mOrL,nizinna
AK-18,RTM,euroclub,,m,nizinna
AK-19,RTM,,,l,nizinna
AK-20,RTM,euroclub,,l,nizinna
AK-21,RTM,euroclub,,xl,nizinna
AK-22,Olimp,,,l,nizinna
AK-23,Olimp,,,xxl,nizinna
AK-24,Olimp,,,l,nizinna
AK-25,Olimp,,,xl,nizinna
AK-26,Olimp,,,xxl,nizinna
AK-27,Olimp,,,l,nizinna
AK-30,Tribord,Secufit,,xl,nizinna
AK-35,Aquarius,kv2,mOrL,mOrL,nizinna
AK-36,Aquarius,kv2,,xl,nizinna
AK-37,Aquarius,kv2,,m,nizinna
AK-38,Aquarius,kv2,,m,nizinna
AK-40,CSR,,,xxl,nizinna
AK-41,CSR,,,xxl,nizinna
AK-42,CSR,,,xl,nizinna
AK-43,CSR,,,xl,nizinna
AK-44,CSR,,,xl,nizinna
AK-45,CSR,,,xl,nizinna
AK-46,CSR,,,mOrL,nizinna
AK-47,CSR,,,mOrL,nizinna
AK-48,Sportis,,LGBT,m,nizinna
AK-50,Sportis,,LGBT,l,nizinna
AK-51,Aquarius,,,xl,nizinna
AK-28,Hiko,NR,,xl,gorska
AK-29,Hiko,NR,,lOrXl,gorska
AK-31,NRS,Zen,,lOrXl,gorska
AK-32,YAK,Escape,,m,gorska
AK-34,Astral,Greenjacket,,mOrL,gorska
AK-39,Hiko,NR,,lOrXl,gorska
AK-52,Hiko,Cinch,,lOrXl,gorska
AK-53,Hiko,Cinch,,sOrM,gorska
AK-54,Palm,FX,czerwona,mOrL,gorska
AK-55,Palm,FX,niebieska,xsOrS,gorska
AK-56,Palm,FX,niebieska,mOrL,gorska
AK-57,Palm,FX,niebieska,mOrL,gorska
AK-58,Hiko,Cinch,,sOrM,gorska
AK-59,Hiko,Cinch,,lOrXl,gorska
AK-33,Palm,Alpha,,mOrL,freestyle
AK-49,Mustard,,,l,nizinna
